STOCK;PRODUCTOS;PRECIO;SIN IGV;;;
0;Ab 80 abro;24.00;20.34;;;
0;Abrazadera 1/2;0.50;0.42;;;
0;Abrazadera 2 par;4.50;5.08;;;
0;Abrazadera para alambre;1.50;1.27;;;
0;Abrazaderas;2.00;1.69;;;
0;Accesor;4.00;3.39;;;
0;Accesorio comprensora truper;20.00;15.25;;;
0;Accesorio tanque metusa;37.00;22.88;;;
0;Accesorio tanque sani;26.00;22.03;;;
0;Aceite afloja todo truper;12.00;10.17;;;
0;Aceite de maquina;2.00;1.69;;;
0;Ácido muriatico losaro;8.00;6.78;;;
0;Ácido sapolio;6.00;5.08;;;
0;Adaptador 1/2 blanco;1.00;0.85;;;
0;Adaptador enchufe;3.00;2.54;;;
0;Adex;10.00;8.47;;;
0;Adex pasta;9.00;7.63;;;
0;Africanito;2.50;1.69;;;
0;Africano;6.50;5.51;;;
0;Africano 1/4;20.00;16.95;;;
0;Aguarraz;11.00;9.32;;;
0;Alambre de construccion 23;7.00;5.93;;;
0;Alcayata y clavo;3.00;2.54;;;
0;Alcohol isopropilico;18.00;15.25;;;
0;Aldaba 31/2;6.00;5.08;;;
0;Alicate 6 universal kamasa;12.50;10.17;;;
0;Alicate de corte 6 uyustools;12.50;10.59;;;
0;Alicate picoloro 10;20.00;16.95;;;
0;Alicate presion;19.00;16.10;;;
0;Alicate presión 10;20.00;16.95;;;
0;Alicate presion kamasa;21.00;17.80;;;
0;Alicate punta 6 kamasa;12.00;10.17;;;
0;Alicate universal 7 maxtool;16.00;13.56;;;
0;Ambientador Glade;9.30;8.47;;;
0;Ambientador sapolio;8.00;6.78;;;
0;Anillo de cera;7.50;6.36;;;
0;Anillo solución 4;16.00;13.56;;;
0;Antena 90cm;5.80;4.92;;;
0;Antena TV c/ base;15.00;12.71;;;
0;Anticorrosivo koral;34.00;25.00;;;
0;Aplicador de silicona uyus.;12.00;10.17;;;
0;Aplicador silicona truper;14.00;11.86;;;
0;Apretador conector cable kamasa;28.00;23.73;;;
0;Arcilla;4.00;3.39;;;
0;Arco cierra;13.00;11.02;;;
0;Arco sierra pretul;19.00;16.10;;;
0;Arco, cuña nivelador;12.00;10.17;;;
0;Arena fina;1.00;5.08;;;
0;Armella;3.00;2.54;;;
0;Armella;5.00;4.24;;;
0;Arrancador flourescente;1.50;1.27;;;
0;Arrancador phillips;3.00;2.54;;;
0;Asiento baño;16.00;13.56;;;
0;Aspersor;2.00;1.69;;;
0;Aspersor maxtool;14.00;11.86;;;
0;Autoperforante 2;16.00;13.56;;;
0;Ayudin líquido;7.00;5.93;;;
0;Badilejo 6 kamasa;7.50;6.36;;;
0;Badilejo 7;9.50;8.05;;;
0;Badilejo 7 kamasa;8.00;6.78;;;
0;Badilejo batir;10.00;8.47;;;
0;Badilejo uyustools 7;9.50;8.05;;;
0;Balde 15l dayr;10.00;8.47;;;
0;Bandeja truper;8.00;6.78;;;
0;Barniz 1/4;22.50;19.07;;;
0;Base farba;9.00;8.47;;;
0;Base halcon x5k;8.50;6.78;;;
0;Base sur x5k;10.00;8.47;;;
0;Base zincromato koral;41.00;34.75;;;
0;Bases farba x5k;9.00;7.63;;;
0;Bateria duracell;16.00;13.56;;;
0;Bencina;11.00;9.32;;;
0;Bisagra baño;3.50;2.97;;;
0;Bisagra bisa 4;8.00;6.78;;;
0;Bisagra cangrejo cya;7.00;5.93;;;
0;Bisagra hechiza 2;4.50;3.81;;;
0;Bisagra hechiza 3;7.00;5.93;;;
0;Bisagra tapa de baño;5.00;4.24;;;
0;Bolsa basura 30l;10.00;8.47;;;
0;Bolsa basura 75l;13.00;11.02;;;
0;Bombín uyustools;27.00;22.88;;;
0;bornera 20A;11.00;9.32;;;
0;Bornera 6A;7.00;5.93;;;
0;bornera 9A;9.00;7.63;;;
0;Broca 1/2 cemento;10.00;8.47;;;
0;Broca 1/4 mayolica;10.00;8.47;;;
0;Broca 1/4 truper;5.00;4.24;;;
0;BROCA 1/8;2.50;2.12;;;
0;Broca 3/8;7.00;5.93;;;
0;Broca 5/16;10.00;8.47;;;
0;Broca 5/16 metal;6.00;5.08;;;
0;Broca de metal;6.00;5.08;;;
0;Broca madera 5/16;6.00;5.08;;;
0;Broca mayólica;11.00;9.32;;;
